City, Country,Continent,Population (2024),Population (2023),Growth Rate
Yancheng Jiangsu,China,Asia,2034326,1993463,0.0205
Dhanbad,India,Asia,1414532,1389776,0.0178
Peshawar,Pakistan,Asia,2480546,2411785,0.0285
Santiago,Chile,South America,6950952,6903392,0.0069
Sorocaba,Brazil,South America,821435,813320,0.01
Abidjan,Ivory Coast,Africa,5866704,5686350,0.0317
Puning,China,Asia,1282756,1254160,0.0228
Sofia,Bulgaria,Europe,1287540,1288114,-0.0004
Istanbul,Turkey,Asia,16047350,15847768,0.0126
Lucknow,India,Asia,4038214,3945409,0.0235
Deyang,China,Asia,963160,939166,0.0255
Quito,Ecuador,South America,1986667,1956995,0.0152
Palermo,Italy,Europe,850233,849687,0.0006
Indianapolis (balance),United States,North America,874089,877355,-0.0037
Maracaibo,Venezuela,South America,2400826,2367626,0.014
Linyi Shandong,China,Asia,2120049,2076364,0.021
Novosibirsk,Russia,Asia,1701510,1694765,0.004
Shaoxing,China,Asia,2882171,2805654,0.0273
Mudanjiang,China,Asia,992414,975348,0.0175
Diyarbakir,Turkey,Asia,1113333,1096937,0.0149
Kigali,Rwanda,Africa,1287952,1247551,0.0324
Zhangjiakou,China,Asia,1568122,1536171,0.0208
Dnipro,Ukraine,Europe,936766,941586,-0.0051
Nellore,India,Asia,837660,816293,0.0262
Wenzhou,China,Asia,4009531,3919724,0.0229
Pekan Baru,Indonesia,Asia,1334532,1303355,0.0239
Xi An Shaanxi,China,Asia,9013837,8785174,0.026
Shangqiu,China,Asia,915823,895111,0.0231
Malegaon,India,Asia,781925,764628,0.0226
Maracay,Venezuela,South America,1256553,1242945,0.0109
Panjin,China,Asia,1142542,1120675,0.0195
Joinville,Brazil,South America,1361992,1348521,0.01
Algiers,Algeria,Africa,2952115,2901810,0.0173
Incheon,South Korea,Asia,2861686,2848557,0.0046
Campinas,Brazil,South America,3458441,3422796,0.0104
Columbus,United States,North America,909676,908823,0.0009
Nanyang Henan,China,Asia,1250300,1224629,0.021
Turin,Italy,Europe,1805727,1801944,0.0021
Nanchong,China,Asia,1412714,1377572,0.0255
Guntur,India,Asia,940205,918324,0.0238
Donetsk,Ukraine,Europe,882209,887716,-0.0062
Kota,India,Asia,1558468,1516795,0.0275
Kanpur,India,Asia,3286142,3234160,0.0161
Pune,India,Asia,7345848,7166374,0.025
Yangquan,China,Asia,869585,851630,0.0211
Nairobi,Kenya,Africa,5541172,5325160,0.0406
Zamboanga City,Philippines,Asia,977081,960349,0.0174
Bandung,Indonesia,Asia,2714215,2674000,0.015
Helsinki,Finland,Europe,1346810,1337786,0.0067
Chifeng,China,Asia,1279544,1252414,0.0217
Kunming,China,Asia,4861079,4761284,0.021
Xining,China,Asia,1705078,1666605,0.0231
Zunyi,China,Asia,1406091,1376453,0.0215
Aba,Nigeria,Africa,1230407,1188803,0.035
Pingdingshan Henan,China,Asia,1285750,1256581,0.0232
Hamah,Syria,Asia,1034498,995747,0.0389
Benxi,China,Asia,1237550,1216852,0.017
Abuja,Nigeria,Africa,4025735,3839646,0.0485
Vijayawada,India,Asia,2290785,2229765,0.0274
Bursa,Turkey,Asia,2115513,2086324,0.014
Shenyang,China,Asia,7830377,7680967,0.0195
Hiroshima,Japan,Asia,2062884,2067591,-0.0023
Chaozhou,China,Asia,1520628,1496298,0.0163
Asuncion,Paraguay,South America,3568830,3510511,0.0166
Xianyang Shaanxi,China,Asia,754446,743491,0.0147
Kaduna,Nigeria,Africa,1221451,1187398,0.0287
Yueyang,China,Asia,1064166,1048889,0.0146
Vancouver,Canada,North America,2682509,2657088,0.0096
Jixi Heilongjiang,China,Asia,1008989,993175,0.0159
Adelaide,Australia,Oceania,1379280,1366783,0.0091
Puducherry,India,Asia,919280,897983,0.0237
Yaounde,Cameroon,Africa,4681768,4509287,0.0383
Shiyan,China,Asia,1387377,1354025,0.0246
Brazzaville,Republic of the Congo,,2724566,2637733,0.0329
Porto,Portugal,Europe,1329301,1324652,0.0035
Nanjing,China,Asia,9947548,9698464,0.0257
Fuxin,China,Asia,889767,876131,0.0156
Salem,India,Asia,1194757,1169953,0.0212
Ibadan,Nigeria,Africa,4004316,3874908,0.0334
Bologna,Italy,Europe,816848,814332,0.0031
Agra,India,Asia,2422342,2367554,0.0231
Cebu City,Philippines,Asia,1042613,1024945,0.0172
Izmir,Turkey,Asia,3120340,3088414,0.0103
Pingxiang Jiangxi,China,Asia,1021575,999721,0.0219
Kinshasa,DR Congo,Africa,17032322,16315534,0.0439
Budapest,Hungary,Europe,1780391,1778052,0.0013
Libreville,Gabon,Africa,883920,869773,0.0163
Tokyo,Japan,Asia,37115035,37194105,-0.0021
Bujumbura,Burundi,Africa,1277050,1206767,0.0582
Grande Vitoria,Brazil,South America,2196818,2170513,0.0121
Wuxi,China,Asia,3498740,3437346,0.0179
Mosul,Iraq,Asia,1847691,1792020,0.0311
Wuzhou,China,Asia,768512,751679,0.0224
Jacksonville,United States,North America,990931,981125,0.01
Teresina,Brazil,South America,1059657,1050459,0.0088
Hengyang,China,Asia,1702012,1661854,0.0242
San Miguel De Tucuman,Argentina,South America,1039226,1026767,0.0121
Bucaramanga,Colombia,South America,1396632,1381498,0.011
Chihuahua,Mexico,North America,1135342,1116295,0.0171
Tainan,Taiwan,Asia,875392,869625,0.0066
Prague,Czech Republic,,1327947,1323339,0.0035
Copenhagen,Denmark,Europe,1391205,1381005,0.0074
Wenling,China,Asia,1159259,1131361,0.0247
Campo Grande,Brazil,South America,934936,926095,0.0095
Guangzhou,China,Asia,14590096,14284353,0.0214
San Diego,United States,North America,1375452,1378307,-0.0021
Chicago,United States,North America,2590002,2627520,-0.0143
Chengdu,China,Asia,9828110,9653772,0.0181
Indore,India,Asia,3393380,3302077,0.0277
Ruian,China,Asia,1314784,1281790,0.0257
Yibin,China,Asia,881480,864910,0.0192
Tshikapa,DR Congo,Africa,1131226,1077108,0.0502
Zhuzhou,China,Asia,1277238,1254519,0.0181
Agadir,Morocco,Africa,998146,979248,0.0193
Varanasi,India,Asia,1789047,1754425,0.0197
Morelia,Mexico,North America,1002461,988744,0.0139
Liuzhou,China,Asia,2397410,2343452,0.023
Aracaju,Brazil,South America,1070122,1056986,0.0124
Thrissur,India,Asia,3605238,3482456,0.0353
Erbil,Iraq,Asia,917639,896716,0.0233
Yongzhou,China,Asia,883326,860522,0.0265
Jiamusi,China,Asia,761903,749763,0.0162
Valencia,Spain,Europe,839770,838301,0.0018
Kermanshah,Iran,Asia,1101611,1084623,0.0157
Queretaro,Mexico,North America,1436818,1413474,0.0165
Jincheng,China,Asia,841928,818057,0.0292
Yan'an,China,Asia,791839,767188,0.0321
Krasnodar,Russia,Asia,1010552,1001155,0.0094
Liaocheng,China,Asia,830004,813369,0.0205
Liuyang,China,Asia,1428802,1373523,0.0402
Zhangjiagang,China,Asia,755752,733810,0.0299
Kochi,India,Asia,3507053,3406055,0.0297
Lille,France,Europe,1085199,1079120,0.0056
Warri,Nigeria,Africa,1031425,986921,0.0451
Santa Cruz,Bolivia,South America,1855732,1820114,0.0196
Buenos Aires,Argentina,South America,15618288,15490415,0.0083
Samarinda,Indonesia,Asia,1128176,1100324,0.0253
Kharkiv,Ukraine,Europe,1418978,1421052,-0.0015
Liverpool,United Kingdom,Europe,922871,917032,0.0064
Pointe Noire,Republic of the Congo,,1379368,1336387,0.0322
